Task name,Description content,Status,Priority,Tags,List (ClickUp),Subtasks
Build challenges management list and detail,"The new design shows a challenge management surface, not just a create form. Add scheduled, active, and past challenge views with detail cards.",To Do,2,challenges|library|phase-1,Challenges,"Create challenges list view|Filter by status and type|Show schedule cards|Add challenge detail view|Show linked question count|Show reward summary"
Refactor challenge creation to safe import flow,"The current create flow uploads questions then waits two seconds before creating a challenge. Replace this with a deterministic create workflow.",To Do,1,challenges|import|phase-1,Challenges,"Await question import batch completion|Prevent duplicate question overwrite|Map imported JSON difficulty correctly|Use selected topics only when intended|Validate schedule dates|Save challenge after confirmed question ids exist"
Create badge catalog and editor,"Replace the preview-only badge form with a real badge catalog that lists existing badges and supports create or edit actions.",To Do,2,badges|library|phase-1,Badges,"Create badge list view|Show badge criteria summary|Add create badge modal|Add edit badge modal|Add delete flow|Refresh catalog after writes"
Separate badge seeding from badge CRUD,"The current Create Badge button seeds a predefined badge set. Split seed operations into an explicit admin tool and keep free-form badge creation separate.",To Do,1,badges|seed|phase-1,Badges,"Add seed catalog action in admin tools|Keep manual badge create action separate|Show seed result summary|Prevent accidental reseed duplicates|Normalize accuracy semantics"
Normalize badge criteria semantics,"Current badge accuracy values mix 0 to 1 and 80 to 100 styles. Standardize the meaning before downstream consumers depend on the data.",To Do,1,badges|schema-cleanup|phase-1,Data Model,"Audit existing badge documents|Choose normalized accuracy format|Backfill inconsistent badge criteria|Update badge form inputs|Document badge criteria rules"
Canonicalize question storage strategy,"Keep root Questions as the source of truth and treat topic subcollection questions as legacy compatibility only unless another client still depends on them.",To Do,1,questions|schema-cleanup|phase-1,Data Model,"Confirm root Questions as canonical|Disable new feature work on legacy nested path|Keep migration flag only if needed|Document read and write policy|Audit legacy topic subcollections"
Add metadata fields to core collections,"Support the new admin experience with consistent createdAt, updatedAt, createdBy, updatedBy, and optional status fields across core entities.",To Do,2,schema|metadata|phase-2,Data Model,"Define metadata fields for Subjects Topics Questions|Update write paths to populate metadata|Backfill existing documents where feasible|Expose metadata in library views|Use metadata in dashboard widgets"
Add import job and admin audit collections,"If you want the dashboard and destructive ops screens to show history, add explicit collections for import runs and admin actions instead of inferring everything from content tables.",To Do,3,audit|imports|phase-2,Data Model,"Design importJobs schema|Design adminAuditLogs schema|Write log on CSV import|Write log on question import|Write log on destructive delete|Show log data in dashboard and tools"
Add reusable validation and feedback patterns,"The new design depends on richer progress, warnings, and summaries than the current green or red text labels. Build reusable feedback components.",To Do,2,ux|validation|phase-1,Foundation,"Create inline validation component|Create progress state component|Create summary banner component|Create empty state component|Create destructive warning banner"
Regression test Firestore read and write flows,"Before shipping the redesign, verify that existing collections still behave correctly in dev, beta, and prod configurations.",To Do,2,qa|firestore|phase-2,QA,"Test subject CRUD|Test topic CRUD|Test question import and delete|Test challenge create flow|Test badge CRUD and seed flow|Test environment-specific database selection"
